Quantity,Part Number,Manufacturer Part Number,Description
12,1497-1367-1-ND,XZTNI53W-1,EMITTER IR 940NM 50MA SMD
12,QSB363GRCT-ND,QSB363GR,SENSOR PHOTO 940NM TOP VIEW 2SMD
12,RNCP0805FTD10K0CT-ND,RNCP0805FTD10K0,RES 10K OHM 1% 1/4W 0805
